"order","ID","Condition","Isolate","X997688204.3.Hydroxymandelic.acid..ethyl.ester..di.TMS","X33021022.Propane..1..1.1.dimethylethoxy..2.methyl...peak.2.","X111706.1.Heptanol","X516096.alpha.methyltetronic.acid.D1..peak.1.","X5129384.Pivalic.acid..2.methylpropyl.ester..peak.1.","X1873887.1.1.1.3.5.5.5.Heptamethyltrisiloxane","X997475136.Benzoic.acid..2..2.chlorophenoxy.ethyl.ester","X103480.Isobutyric.acid..phenethyl.ester","X4362190.1.3.Dioxolane..2.phenyl.2..phenylmethyl..","X997064389.1.2.Epoxy.3..2.ethoxy.ethoxypropane","X623632.Carbonic.acid..bis.1.methylpropyl..ester","X7340229.2..2.Carboxyvinyl.pyridine..trans..peak.2.","X329049254.N..2.Furylmethylene.hydrocinnamohydrazide","X133826401.Phenyl.methylphosphonofluoridoate..peak.4.","X112129.2.Undecanone","X62108241.Decane..2.6.6.trimethyl...peak.2.","X122703.Propanoic.acid..2.phenylethyl.ester","X39756304.2.2.3.3.4.4.5.5.6.6.7.7.8.8.9.9.10.10.11.11.12.12.13.13.14.14.15.15.16.16.16.hentriacontadeuteriohexadecanoic.acid..peak.1.","X997442500.Ethyl.3...phenacetyl.amino.propane.1..dithio..oate","X997691369.6..4.Chloro.3..trifluoromethyl.phenyl.amino.2.8.dimethyl.9H.purine..peak.1.","X28009805.di.tert.Butyl.1.3.acetonedicarboxylate","X39756304.2.2.3.3.4.4.5.5.6.6.7.7.8.8.9.9.10.10.11.11.12.12.13.13.14.14.15.15.16.16.16.hentriacontadeuteriohexadecanoic.acid..peak.2.","X997691369.6..4.Chloro.3..trifluoromethyl.phenyl.amino.2.8.dimethyl.9H.purine..peak.2.","X997235523.Cyclohexane.1.methanol..3.3.dimethyl.2..3.methyl.1.3.butadienyl.."
87,"10A","Control","Exophiala dermatitidis",5.27717033594658,10.4888351341805,11.1314275356572,10.0799236992307,8.39794220384546,7.92813391709014,6.4349958560226,6.2305011324241,6.39670462989985,10.0970988892553,10.7965195857737,6.08372462553328,9.57038961655386,7.54397490140585,6.91714109409063,10.9182854393485,6.73664662200225,5.352047688969,12.9553113063755,9.8219187017317,6.38036826941692,4.38906431202553,12.4116711588746,8.31926162998778
88,"10B","Control","Exophiala dermatitidis",5.49808993153901,10.776370553921,10.8858114068247,10.864241099094,10.2742117913228,7.83519957792638,6.10561878441029,6.0284833185352,6.42597052400056,10.1318834859099,10.8217884626475,6.19442579905969,9.6881813339393,8.25076889616661,7.75753648189168,11.1133105112902,6.93091500999255,5.21074219429208,12.91005576715,10.0065487517909,7.96727324650916,5.05548118188809,12.6497072574133,8.70122495164494
75,"10C","Control","Exophiala dermatitidis",5.12426155417111,10.0668970228847,11.0508103196592,9.92166925900652,8.38169185973526,7.91784595992696,6.05483832769856,6.00806351876335,5.71691256319913,9.95097496372937,10.7357815950437,6.04534885691413,9.50799678489389,7.558613243345,6.46593474885063,10.91395190949,6.77702567197377,5.12402350144131,12.9896296551276,9.87525524511119,6.37780629716437,4.65866355842809,12.2044703876002,8.39366757365239
83,"10D","d_SCFA","Exophiala dermatitidis",5.48680735936237,10.5309538263511,10.7523611707646,11.1280917582771,10.5981839075055,7.48109925972746,6.43716747914198,6.04496976838058,6.1975433197956,10.1567532425337,10.5486672179581,6.30166614098963,11.1103359683254,9.47155744020409,8.1303932992913,11.9500567325701,7.14626023740905,5.42758970225218,12.9009495792042,9.95133965781825,10.2803578652655,4.89192683036337,12.245338742269,8.53173691685708
77,"10E","d_SCFA","Exophiala dermatitidis",5.40330781373897,10.5424700834687,10.7774968921537,11.1506210624644,10.637845172162,7.68434476663896,6.25767716638083,6.24679451342484,6.02522567225765,10.0892307488394,10.7324661349204,6.1270438413498,11.1855480547487,9.71734349930249,7.99662694813945,11.7747385006159,6.62148554204819,5.36532159532851,12.9932908065859,9.92781619645891,10.2402411781352,4.96301944015459,12.3444610798575,8.19217886155564
91,"10F","d_SCFA","Exophiala dermatitidis",5.39678165781802,10.6859032899043,11.0391908843732,11.2509590913337,10.704690725191,7.81425220775202,6.39400872678848,6.24972424551147,5.95215182972244,10.2445275552971,10.7179278235185,6.32224202791535,11.0782335340093,9.5778990229182,8.14294764165279,11.5949236594326,6.4850702555042,5.68466761079652,12.9989648732257,9.8639288222615,9.88616335140292,5.21843506267579,12.0172798252038,8.1159197858352
40,"11A","Control","Clavispora lusitaniae",5.82505570877408,9.76529301863426,12.1161251259258,10.6294334268475,8.81878926365002,7.47486009685433,6.55862324421413,6.54668497530098,6.10268162955005,9.87619574621644,10.2392059336511,6.40579028364834,9.57565617592386,8.38132306608715,7.83194870217133,10.77504343632,6.78644038866332,5.11592580730397,12.6296526503286,9.77036493349516,6.51421627138046,4.42226846092907,12.2766114414599,7.59205342204271
34,"11B","Control","Clavispora lusitaniae",5.6893623357449,9.95646939552276,11.9729238962326,11.3044851641437,10.5085816318819,7.9718278813755,6.69793507636635,6.43928647129497,6.25249137914977,9.89717592606136,10.3788342260147,6.17447336768207,9.64343394145178,7.90931871055552,9.10278300055238,11.5035399081022,6.82188143657283,5.409791654952,13.0780624111904,10.3260108391091,9.0249597409822,4.5329757664396,12.9681839771646,7.77981613275819
49,"11C","Control","Clavispora lusitaniae",5.35825940251457,9.51905409557659,11.688219175872,10.2674361541731,8.59433569756808,8.00520188851023,6.60660964483588,6.55447456811142,6.0515360748196,9.65184742836493,10.0137924744463,5.90391666258756,9.80313558424942,8.22894429168155,7.45465918362891,10.5426755198816,6.35638539990056,5.12360677275542,12.5237722923986,9.69592972289534,6.51455712321695,4.80553628961231,12.1818590994191,7.26339969210635
50,"11D","d_SCFA","Clavispora lusitaniae",5.08162173266274,9.62121283395935,12.0880299386621,10.7340345399985,9.33525260110101,7.79090899443525,6.66311992451717,6.55467387055354,6.05479139696831,9.86955013814842,10.1546353002599,5.8814124877941,10.0464816571471,12.8397546669932,7.68236723252435,10.6450505414888,6.39886112206589,5.44587493090565,12.6151503868803,9.58936327952382,8.556987778334,5.11520549753964,12.204808346641,7.56375080441121
